Título,Autor,Idioma Original,Primera Edición,Ventas Aproximadas
Ciudad de hueso(The Mortal Instruments: City of Bones),Cassandra Clare,Inglés,2007,20 millones[63]​
Donde viven los monstruos(Where The Wild Things Are),Maurice Sendak,inglés,1963,19 millones[64]​
El secreto(The Secret),Rhonda Byrne,Inglés,2006,19 millones[65]​
Miedo a volar(Fear of Flying),Erica Jong,Inglés,1973,18 millones[66]​
"Buenas noches, Luna(Goodnight Moon)",Margaret Wise Brown,Inglés,1947,16 millones[67]​
Adivina cuánto te quiero(Guess How Much I Love You),"Sam McBratney, ilustrado porAnita Jeram",Inglés,1994,15 millones[68]​
Los siete hábitos de las personas altamente efectivas(The 7 Habits of Highly Effective People),Stephen R. Covey,Inglés,1989,15 millones[69]​
Shōgun,James Clavell,Inglés,1975,15 millones[70]​
El pequeño perrito Poky(The Poky Little Puppy),Janette Sebring Lowrey,Inglés,1942,15 millones[71]​
Los pilares de la Tierra(The Pillars of the Earth),Ken Follett,Inglés,1989,15 millones[72]​
Cómo ganar amigos e influir sobre las personas(How to Win Friends and Influence People),Dale Carnegie,Inglés,1936,15 millones[73]​
"El perfumeoEl perfume: historia de un asesino(Das Parfum, die Geschichte eines Mörders)",Patrick Süskind,Alemán,1985,15 millones[74]​
El hombre que susurraba al oído de los caballos(The Horse Whisperer),Nicholas Evans,Inglés,1995,15 millones[75]​
La sombra del viento,Carlos Ruiz Zafón,Español,2001,15 millones[76]​
La cabaña(The Shack),William P. Young,Inglés,2007,15 millones[77]​
En llamas(Catching Fire),Suzanne Collins,Inglés,2009,Más de 14 millones[78]​
Guía del autoestopista galácticooGuía del viajero galáctico(The Hitchhiker's Guide to the Galaxy),Douglas Adams,Inglés,1979,14 millones[79]​
Martes con mi viejo profesor(Tuesdays with Morrie),Mitch Albom,Inglés,1997,14 millones[80]​
La parcela de Dios(God's Little Acre),Erskine Caldwell,Inglés,1933,14 millones[81]​
Donde el corazón te lleve(Va' dove ti porta il cuore),Susanna Tamaro,Italiano,1994,14 millones[82]​
Sinsajo(Mockingjay),Suzanne Collins,Inglés,2010,Más de 13 millones[83]​
Rebeldes(The Outsiders),Susan E. Hinton,Inglés,1967,13 millones[84]​
Charlie y la fábrica de chocolate(Charlie and the Chocolate Factory),Roald Dahl,Inglés,1964,13 millones[85]​
Mi lucha(Mein Kampf),Adolf Hitler,Alemán,1928,"12,5 millones (hasta 1945)[1][2]"
"Tokio blues(ノルウェイの森,Noruwei no Mori)",Haruki Murakami,Japonés,1987,Más de 12 millones[86]​
Peyton Place,Grace Metalious,Inglés,1956,12 millones[87]​
Dune,Frank Herbert,Inglés,1965,12 millones[88]​
La peste(La Peste),Albert Camus,Francés,1947,12 millones[89]​
"Indigno de ser humano(人間失格,Ningen shikkaku)",Osamu Dazai,Japonés,1948,12 millones[90]​
El mono desnudo(The Naked Ape),Desmond Morris,Inglés,1968,12 millones[91]​
Los puentes de Madison(The Bridges of Madison County),Robert James Waller,Inglés,1992,12 millones[92]​
Todo se desmorona(Things Fall Apart),Chinua Achebe,Inglés,1958,11 millones[93]​
El profeta(The Prophet),Khalil Gibran,Inglés,1923,11 millones[94]​
El exorcista(The Exorcist),William Peter Blatty,Inglés,1971,11 millones[95]​
El grúfalo(The Gruffalo),"Julia Donaldson, ilustrado porAxel Scheffler",Inglés,1999,"10,5 millones[96]​"
Trampa 22(Catch-22),Joseph Heller,Inglés,1961,10 millones[97]​
La isla de las tormentas(Storm IslandoEye of the Needle),Ken Follett,Inglés,1978,10 millones[98]​
Historia del tiempooBreve historia del tiempooHistoria del tiempo: del Big Bang a los agujeros negros(A Brief History of Time: From the Big Bang to Black Holes),Stephen Hawking,Inglés,1988,10 millones[99]​
"The Cat in the Hat,El gato con sombrero,El gato en el sombrerooEl gato garabato",Dr. Seuss,Inglés,1957,10 millones[100]​
Desde mi cielo(The Lovely Bones),Alice Sebold,Inglés,2002,10 millones[101]​
Cisnes salvajes(Wild Swans),Jung Chang,Inglés,1992,10 millones[102]​
Santa Evita,Tomás Eloy Martínez,Español,1995,10 millones[103]​
La noche(Un di Velt Hot Geshvign),Elie Wiesel,Yidis,1958,10 millones[104]​
Cometas en el cielo(The Kite Runner),Khaled Hosseini,Inglés,2003,10 millones[105]​
"Observaciones de Yu Dan sobre lasAnalectasde Confucio(于丹《论语》心得 , )",Yu Dan,Chino,2006,10 millones[106]​
La mujer total(The Total Woman),Marabel Morgan,Inglés,1974,10 millones[107]​
"Historia del futuro, la sociedad del conocimiento(知価革命, )",Taichi Sakaiya,Japonés,1985,10 millones[108]​
"Problemas de la economía socialista de China(中国社会主义经济问题研究 , )",Xue Muqiao,Chino,1979,10 millones[109]​
¿De qué color es su paracaídas?(What Color is Your Parachute?),Richard Nelson Bolles,Inglés,1970,10 millones[110]​
